
208.67.222.222 , Queries Sent: , Queries Completed: , QPS: , Avg Latency: 
2.192.162.215, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
185.132.228.226, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
94.141.24.94, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
15.161.143.230, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
188.216.77.204, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.112.204.62, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
94.177.173.194, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.192.227.118, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.32.159.122, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.45.61.48, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.119.141.242, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.236.240.61, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.192.8.210, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.38.68.153, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
62.149.128.2, Queries Sent: 2127, Queries Completed: 2124, QPS: 360.575209, Avg Latency: 0.248889
2.36.220.203, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.186.202, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.32.37, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.161.98, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.51.147, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.194.98.204, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.70.106, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.57.85.65, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.195.65.171, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.218.226, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.38.17.106, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.219.209, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.74.65, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.42.54.220, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.32.137.152, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.42.248.26, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.33.236, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.32.124.234, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.192.100.75, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
